Question,Option1,Option2,Option3,Option4,CorrectAnswer
"Which company is known for the iPhone?", "Apple", "Samsung", "Google", "Microsoft", "Apple"
"What company’s logo features a swoosh?", "Nike", "Adidas", "Puma", "Reebok", "Nike"
"Which company owns the social media platform Instagram?", "Facebook", "Twitter", "Google", "Snapchat", "Facebook"
"Which company is known for its search engine?", "Apple", "Google", "Yahoo", "Bing", "Google"
"What company makes the Xbox gaming console?", "Sony", "Microsoft", "Nintendo", "Sega", "Microsoft"
"Which fast food company has the slogan 'I'm Lovin' It'?", "McDonald's", "Burger King", "Wendy's", "Taco Bell", "McDonald's"
"Which company created the electric car model 'Model S'?", "Tesla", "Ford", "Chevrolet", "BMW", "Tesla"
"Which company owns the popular video streaming platform YouTube?", "Amazon", "Facebook", "Google", "Apple", "Google"
"Which company is famous for its coffee and pastries?", "Starbucks", "Dunkin' Donuts", "Tim Hortons", "Peet's Coffee", "Starbucks"
"Which company is known for its cloud computing services under the name 'AWS'?", "Microsoft", "Google", "Amazon", "IBM", "Amazon"
